Tilda UID,Brand,SKU,Category,Description,Photo,Price,Quantity,Editions,Parent UID,descr,tags
167284,Diesel,102853-JDALTR,women,Юбка,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102853-JDALTR-0.jpg https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102853-JDALTR-1.jpg https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102853-JDALTR-2.jpg https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102853-JDALTR-3.jpg,3799,,,,,
167284-38,,102853-JDALTR,,,,3799,100,size: 38,167284,,
167284-42,,102853-JDALTR,,,,3799,100,size: 42,167284,,
188426,Emporio Armani,106744-TCALTR,women,Свитер,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106744-TCALTR-0.jpg https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106744-TCALTR-1.jpg https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106744-TCALTR-2.jpg https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106744-TCALTR-3.jpg,5649,,,,,
188426-40-42,,106744-TCALTR,,,,5649,100,size: 40/42,188426,,
188426-42-44,,106744-TCALTR,,,,5649,100,size: 42/44,188426,,
188426-44-46,,106744-TCALTR,,,,5649,100,size: 44/46,188426,,
188426-46-48,,106744-TCALTR,,,,5649,100,size: 46/48,188426,,
187840,Diesel,106809-LDALTR,women,Ремень,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106809-LDALTR-0.jpg https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106809-LDALTR-1.jpg https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106809-LDALTR-2.jpg https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106809-LDALTR-3.jpg https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106809-LDALTR-4.jpg,2499,,,,,
187840-80,,106809-LDALTR,,,,2499,100,size: 80,187840,,
187840-85,,106809-LDALTR,,,,2499,100,size: 85,187840,,
187840-90,,106809-LDALTR,,,,2499,100,size: 90,187840,,
