id	title	description	link	image_link	availability	price	brand	gender	size	item_group_id
26660-36	Кроссовки	Кроссовки	https://m.ququ.shop/product/106573-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106573-VCALTR-0.jpg	in_stock	4099 TJS	Twinset Milano	female	size: 36	26660
26660-37	Кроссовки	Кроссовки	https://m.ququ.shop/product/106573-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106573-VCALTR-0.jpg	in_stock	4099 TJS	Twinset Milano	female	size: 37	26660
26660-38	Кроссовки	Кроссовки	https://m.ququ.shop/product/106573-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106573-VCALTR-0.jpg	in_stock	4099 TJS	Twinset Milano	female	size: 38	26660
26660-39	Кроссовки	Кроссовки	https://m.ququ.shop/product/106573-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106573-VCALTR-0.jpg	in_stock	4099 TJS	Twinset Milano	female	size: 39	26660
26660-40	Кроссовки	Кроссовки	https://m.ququ.shop/product/106573-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106573-VCALTR-0.jpg	in_stock	4099 TJS	Twinset Milano	female	size: 40	26660
26660-41	Кроссовки	Кроссовки	https://m.ququ.shop/product/106573-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106573-VCALTR-0.jpg	in_stock	4099 TJS	Twinset Milano	female	size: 41	26660
29407-00	Сумка	Сумка	https://m.ququ.shop/product/H5BO0W-X200PM	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/H5BO0W-X200PM-0.jpg	in_stock	6549 TJS	Furla	female	size: 00	29407
3809-00	Кошелек	Кошелек	https://m.ququ.shop/product/102846-JCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102846-JCALTR-0.jpg	in_stock	3149 TJS	Emporio Armani	female	size: 00	3809
30770-35	Кроссовки	Кроссовки	https://m.ququ.shop/product/107645-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107645-VCALTR-0.jpg	in_stock	4249 TJS	Liu Jo	female	size: 35	30770
30770-36	Кроссовки	Кроссовки	https://m.ququ.shop/product/107645-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107645-VCALTR-0.jpg	in_stock	4249 TJS	Liu Jo	female	size: 36	30770
30770-37	Кроссовки	Кроссовки	https://m.ququ.shop/product/107645-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107645-VCALTR-0.jpg	in_stock	4249 TJS	Liu Jo	female	size: 37	30770
30770-38	Кроссовки	Кроссовки	https://m.ququ.shop/product/107645-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107645-VCALTR-0.jpg	in_stock	4249 TJS	Liu Jo	female	size: 38	30770
30770-40	Кроссовки	Кроссовки	https://m.ququ.shop/product/107645-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107645-VCALTR-0.jpg	in_stock	4249 TJS	Liu Jo	female	size: 40	30770
31077-53	Очки солнцезащитные	Очки солнцезащитные	https://m.ququ.shop/product/107149-RCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107149-RCALTR-0.jpg	in_stock	3499 TJS	Karl Lagerfeld	female	size: 53	31077
33830-40-42	Футболка	Футболка	https://m.ququ.shop/product/102592-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102592-VCALTR-0.jpg	in_stock	1899 TJS	Boss	female	size: 40/42	33830
33830-42-44	Футболка	Футболка	https://m.ququ.shop/product/102592-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102592-VCALTR-0.jpg	in_stock	1899 TJS	Boss	female	size: 42/44	33830
33830-44-46	Футболка	Футболка	https://m.ququ.shop/product/102592-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102592-VCALTR-0.jpg	in_stock	1899 TJS	Boss	female	size: 44/46	33830
33830-46-48	Футболка	Футболка	https://m.ququ.shop/product/102592-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102592-VCALTR-0.jpg	in_stock	1899 TJS	Boss	female	size: 46/48	33830
33830-48-50	Футболка	Футболка	https://m.ququ.shop/product/102592-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102592-VCALTR-0.jpg	in_stock	1899 TJS	Boss	female	size: 48/50	33830
24427-44-46	Джинсы	Джинсы	https://m.ququ.shop/product/107279-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107279-SCALTR-0.jpg	in_stock	2799 TJS	Diesel	male	size: 44/46	24427
24427-46	Джинсы	Джинсы	https://m.ququ.shop/product/107279-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107279-SCALTR-0.jpg	in_stock	2799 TJS	Diesel	male	size: 46	24427
24427-46-48	Джинсы	Джинсы	https://m.ququ.shop/product/107279-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107279-SCALTR-0.jpg	in_stock	2799 TJS	Diesel	male	size: 46/48	24427
24427-48	Джинсы	Джинсы	https://m.ququ.shop/product/107279-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107279-SCALTR-0.jpg	in_stock	2799 TJS	Diesel	male	size: 48	24427
24427-48-50	Джинсы	Джинсы	https://m.ququ.shop/product/107279-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107279-SCALTR-0.jpg	in_stock	2799 TJS	Diesel	male	size: 48/50	24427
24427-50	Джинсы	Джинсы	https://m.ququ.shop/product/107279-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107279-SCALTR-0.jpg	in_stock	2799 TJS	Diesel	male	size: 50	24427
24427-52	Джинсы	Джинсы	https://m.ququ.shop/product/107279-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107279-SCALTR-0.jpg	in_stock	2799 TJS	Diesel	male	size: 52	24427
33445-00	Сумка	Сумка	https://m.ququ.shop/product/FBD21M-X200PM	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/FBD21M-X200PM-0.jpg	in_stock	2099 TJS	Furla	male	size: 00	33445
33475-00	Кошелек	Кошелек	https://m.ququ.shop/product/109265-RCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109265-RCALTR-0.jpg	in_stock	1349 TJS	Aeronautica Militare	male	size: 00	33475
7618-00	Сумка	Сумка	https://m.ququ.shop/product/109759-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109759-TCALTR-0.jpg	in_stock	5149 TJS	Karl Lagerfeld	female	size: 00	7618
26175-00	Сумка	Сумка	https://m.ququ.shop/product/100729-KCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100729-KCALTR-0.jpg	in_stock	1149 TJS	EA7	female	size: 00	26175
33490-35	Кроссовки	Кроссовки	https://m.ququ.shop/product/109153-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109153-XCALTR-0.jpg	in_stock	3549 TJS	Liu Jo	female	size: 35	33490
33490-39	Кроссовки	Кроссовки	https://m.ququ.shop/product/109153-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109153-XCALTR-0.jpg	in_stock	3549 TJS	Liu Jo	female	size: 39	33490
30393-42	Блуза	Блуза	https://m.ququ.shop/product/103278-QCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103278-QCALTR-0.jpg	in_stock	3449 TJS	Karl Lagerfeld	female	size: 42	30393
30393-44	Блуза	Блуза	https://m.ququ.shop/product/103278-QCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103278-QCALTR-0.jpg	in_stock	3449 TJS	Karl Lagerfeld	female	size: 44	30393
33556-40-42	Футболка	Футболка	https://m.ququ.shop/product/106720-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106720-TCALTR-0.jpg	in_stock	1249 TJS	Tommy Hilfiger	female	size: 40/42	33556
33556-42-44	Футболка	Футболка	https://m.ququ.shop/product/106720-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106720-TCALTR-0.jpg	in_stock	1249 TJS	Tommy Hilfiger	female	size: 42/44	33556
33556-44-46	Футболка	Футболка	https://m.ququ.shop/product/106720-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106720-TCALTR-0.jpg	in_stock	1249 TJS	Tommy Hilfiger	female	size: 44/46	33556
33556-46-48	Футболка	Футболка	https://m.ququ.shop/product/106720-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106720-TCALTR-0.jpg	in_stock	1249 TJS	Tommy Hilfiger	female	size: 46/48	33556
33115-36	Кеды на танкетке	Кеды на танкетке	https://m.ququ.shop/product/RXN80W-X200PM	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/RXN80W-X200PM-0.jpg	in_stock	3999 TJS	Karl Lagerfeld	female	size: 36	33115
33115-37	Кеды на танкетке	Кеды на танкетке	https://m.ququ.shop/product/RXN80W-X200PM	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/RXN80W-X200PM-0.jpg	in_stock	3999 TJS	Karl Lagerfeld	female	size: 37	33115
33115-38	Кеды на танкетке	Кеды на танкетке	https://m.ququ.shop/product/RXN80W-X200PM	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/RXN80W-X200PM-0.jpg	in_stock	3999 TJS	Karl Lagerfeld	female	size: 38	33115
33115-39	Кеды на танкетке	Кеды на танкетке	https://m.ququ.shop/product/RXN80W-X200PM	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/RXN80W-X200PM-0.jpg	in_stock	3999 TJS	Karl Lagerfeld	female	size: 39	33115
33115-40	Кеды на танкетке	Кеды на танкетке	https://m.ququ.shop/product/RXN80W-X200PM	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/RXN80W-X200PM-0.jpg	in_stock	3999 TJS	Karl Lagerfeld	female	size: 40	33115
33115-41	Кеды на танкетке	Кеды на танкетке	https://m.ququ.shop/product/RXN80W-X200PM	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/RXN80W-X200PM-0.jpg	in_stock	3999 TJS	Karl Lagerfeld	female	size: 41	33115
31601-40	Брюки	Брюки	https://m.ququ.shop/product/103685-ICALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103685-ICALTR-0.jpg	in_stock	3749 TJS	Boss	female	size: 40	31601
31601-42	Брюки	Брюки	https://m.ququ.shop/product/103685-ICALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103685-ICALTR-0.jpg	in_stock	3749 TJS	Boss	female	size: 42	31601
31005-48-50	Футболка	Футболка	https://m.ququ.shop/product/300582-QBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/300582-QBALTR-0.jpg	in_stock	1399 TJS	EA7	female	size: 48/50	31005
23533-50-52	Рубашка	Рубашка	https://m.ququ.shop/product/109655-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109655-TCALTR-0.jpg	in_stock	1899 TJS	Boss	male	size: 50/52	23533
23533-52-54	Рубашка	Рубашка	https://m.ququ.shop/product/109655-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109655-TCALTR-0.jpg	in_stock	1899 TJS	Boss	male	size: 52/54	23533
23533-54-56	Рубашка	Рубашка	https://m.ququ.shop/product/109655-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109655-TCALTR-0.jpg	in_stock	1899 TJS	Boss	male	size: 54/56	23533
19639-46-48	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/5NYKHM-E200AE	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/5NYKHM-E200AE-0.jpg	in_stock	3399 TJS	EA7	male	size: 46/48	19639
19639-48-50	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/5NYKHM-E200AE	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/5NYKHM-E200AE-0.jpg	in_stock	3399 TJS	EA7	male	size: 48/50	19639
19639-50-52	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/5NYKHM-E200AE	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/5NYKHM-E200AE-0.jpg	in_stock	3399 TJS	EA7	male	size: 50/52	19639
19639-52-54	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/5NYKHM-E200AE	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/5NYKHM-E200AE-0.jpg	in_stock	3399 TJS	EA7	male	size: 52/54	19639
19639-54-56	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/5NYKHM-E200AE	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/5NYKHM-E200AE-0.jpg	in_stock	3399 TJS	EA7	male	size: 54/56	19639
19639-56-58	Костюм спортивный	Костюм спортивный	https://m.ququ.shop/product/5NYKHM-E200AE	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/5NYKHM-E200AE-0.jpg	in_stock	3399 TJS	EA7	male	size: 56/58	19639
33620-40	Платье	Платье	https://m.ququ.shop/product/105911-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105911-VCALTR-0.jpg	in_stock	10749 TJS	Pinko	female	size: 40	33620
33620-44	Платье	Платье	https://m.ququ.shop/product/105911-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105911-VCALTR-0.jpg	in_stock	10749 TJS	Pinko	female	size: 44	33620
33313-40	Кеды	Кеды	https://m.ququ.shop/product/102995-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102995-XCALTR-0.jpg	in_stock	4249 TJS	Diesel	male	size: 40	33313
33313-41	Кеды	Кеды	https://m.ququ.shop/product/102995-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102995-XCALTR-0.jpg	in_stock	4249 TJS	Diesel	male	size: 41	33313
33313-42	Кеды	Кеды	https://m.ququ.shop/product/102995-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102995-XCALTR-0.jpg	in_stock	4249 TJS	Diesel	male	size: 42	33313
33313-43	Кеды	Кеды	https://m.ququ.shop/product/102995-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102995-XCALTR-0.jpg	in_stock	4249 TJS	Diesel	male	size: 43	33313
33313-44	Кеды	Кеды	https://m.ququ.shop/product/102995-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102995-XCALTR-0.jpg	in_stock	4249 TJS	Diesel	male	size: 44	33313
33313-45	Кеды	Кеды	https://m.ququ.shop/product/102995-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102995-XCALTR-0.jpg	in_stock	4249 TJS	Diesel	male	size: 45	33313
33313-46	Кеды	Кеды	https://m.ququ.shop/product/102995-XCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102995-XCALTR-0.jpg	in_stock	4249 TJS	Diesel	male	size: 46	33313
32968-38-40	Футболка	Футболка	https://m.ququ.shop/product/103177-ZAALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103177-ZAALTR-0.jpg	in_stock	1749 TJS	Diesel	female	size: 38/40	32968
32968-40-42	Футболка	Футболка	https://m.ququ.shop/product/103177-ZAALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103177-ZAALTR-0.jpg	in_stock	1749 TJS	Diesel	female	size: 40/42	32968
32968-42-44	Футболка	Футболка	https://m.ququ.shop/product/103177-ZAALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103177-ZAALTR-0.jpg	in_stock	1749 TJS	Diesel	female	size: 42/44	32968
32968-44-46	Футболка	Футболка	https://m.ququ.shop/product/103177-ZAALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103177-ZAALTR-0.jpg	in_stock	1749 TJS	Diesel	female	size: 44/46	32968
32968-46-48	Футболка	Футболка	https://m.ququ.shop/product/103177-ZAALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103177-ZAALTR-0.jpg	in_stock	1749 TJS	Diesel	female	size: 46/48	32968
27119-00	Сумка	Сумка	https://m.ququ.shop/product/101529-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101529-WCALTR-0.jpg	in_stock	3499 TJS	Karl Lagerfeld	female	size: 00	27119
31887-46-48	Рубашка	Рубашка	https://m.ququ.shop/product/100755-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100755-TCALTR-0.jpg	in_stock	2249 TJS	Boss	male	size: 46/48	31887
31887-48-50	Рубашка	Рубашка	https://m.ququ.shop/product/100755-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100755-TCALTR-0.jpg	in_stock	2249 TJS	Boss	male	size: 48/50	31887
31887-50-52	Рубашка	Рубашка	https://m.ququ.shop/product/100755-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100755-TCALTR-0.jpg	in_stock	2249 TJS	Boss	male	size: 50/52	31887
31887-52-54	Рубашка	Рубашка	https://m.ququ.shop/product/100755-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100755-TCALTR-0.jpg	in_stock	2249 TJS	Boss	male	size: 52/54	31887
31887-54-56	Рубашка	Рубашка	https://m.ququ.shop/product/100755-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100755-TCALTR-0.jpg	in_stock	2249 TJS	Boss	male	size: 54/56	31887
32791-41	Кроссовки	Кроссовки	https://m.ququ.shop/product/106494-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106494-VCALTR-0.jpg	in_stock	2949 TJS	Tommy Hilfiger	female	size: 41	32791
31466-48-50	Олимпийка	Олимпийка	https://m.ququ.shop/product/108337-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108337-VCALTR-0.jpg	in_stock	4749 TJS	Boss	male	size: 48/50	31466
31466-50-52	Олимпийка	Олимпийка	https://m.ququ.shop/product/108337-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108337-VCALTR-0.jpg	in_stock	4749 TJS	Boss	male	size: 50/52	31466
31466-52-54	Олимпийка	Олимпийка	https://m.ququ.shop/product/108337-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108337-VCALTR-0.jpg	in_stock	4749 TJS	Boss	male	size: 52/54	31466
31466-54-56	Олимпийка	Олимпийка	https://m.ququ.shop/product/108337-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108337-VCALTR-0.jpg	in_stock	4749 TJS	Boss	male	size: 54/56	31466
32642-44	Джинсы	Джинсы	https://m.ququ.shop/product/105698-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105698-WCALTR-0.jpg	in_stock	6399 TJS	Diesel	female	size: 44	32642
32642-44-46	Джинсы	Джинсы	https://m.ququ.shop/product/105698-WCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105698-WCALTR-0.jpg	in_stock	6399 TJS	Diesel	female	size: 44/46	32642
27016-00	Сумка	Сумка	https://m.ququ.shop/product/1IHA0W-X200PM	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/1IHA0W-X200PM-0.jpg	in_stock	6399 TJS	Furla	female	size: 00	27016
